track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_length
7ncYOSI1548FxYILBj6H2o,0.273,0.0924,5,-13.045,0,0.0362,0.953,0.148,0.108,0.0627,136.02,4,319.387
4NCkdh3d9yHodLjWDWLeb8,0.568,0.181,6,-19.451,0,0.0283,0.993,0.935,0.103,0.351,85.892,4,89.52
6uWjjaiquXsjuQuks2mZME,0.361,0.0165,0,-27.874,1,0.0615,0.995,0.967,0.0834,0.452,114.346,3,144.5
71EnloViXmSKrQkrkaYFxF,0.695,0.796,7,-5.199,1,0.0548,0.00251,0.117,0.664,0.297,124.986,4,237.051
5NQhLLx5PJzFbq7AkpRZSK,0.58,0.905,4,-3.719,0,0.0352,0.00712,0.000106,0.203,0.407,122.953,4,200.462
2ZQiI8jYatiYH1Kmidmi6w,0.812,0.85,0,-3.741,1,0.145,0.0799,0.0,0.17,0.544,115.028,4,172.54
4LihUZcWy0B6lGLqcJ8u9B,0.763,0.72,9,-5.181,0,0.0691,0.00261,1.11e-05,0.114,0.592,116.01,4,212.0
1NDxZ7cFAo481dtYWdrUnR,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,4,193.613
3kGfazcbVvVkuZunzlLgTD,0.708,0.868,6,-3.287,1,0.0431,0.0313,0.0,0.122,0.72,124.994,4,202.999
2MqD75d9cbpVenKiiCS7YT,0.706,0.894,9,-5.269,1,0.0385,0.0428,0.013,0.859,0.831,125.026,4,180.48
57p8CBvPOxrvyCbn6ttl5r,0.653,0.91,10,-3.36,1,0.0566,0.0079,0.0,0.318,0.0921,126.047,4,234.286
2loy3jeztxNAKlsc06wjTJ,0.611,0.841,2,-4.418,1,0.0806,0.0858,1.43e-06,0.334,0.436,101.979,4,174.118
0qYTZCo5Bwh1nsUFGZP3zn,0.755,0.789,5,-4.502,1,0.146,0.231,0.0,0.351,0.737,93.973,4,229.849
4iLqG9SeJSnt0cSPICSjxv,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,4,211.475
7wGoVu4Dady5GV0Sv4UIsx,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,4,218.32
1j4kHkkpqZRBwE0A4CN4Yv,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,4,239.0
7vGuf3Y35N4wmASOKLUVVU,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,4,180.823
3B54sVLJ402zGa6Xm4YGNe,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4,233.902
53QF56cjZA9RTuuMZDrSA6,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,3,240.166
0aLJRIFLFZ0Tjr8XZb2uMX,0.62,0.422,4,-4.525,1,0.0309,0.64,9.05e-06,0.213,0.234,128.154,4,222.656
4fs51wRnDJo4XrRdk6h0GD,0.712,0.922,6,-3.902,0,0.0411,0.00266,1.9e-06,0.268,0.976,125.984,4,231.625
2JCxYaz4o7pSXrT1ZMBWOZ,0.656,0.781,2,-5.832,1,0.0729,0.00625,0.0,0.172,0.543,95.992,4,215.36
1SJtlNRJDeYHioymcvsqev,0.334,0.617,6,-5.834,0,0.383,0.334,0.0,0.163,0.603,85.227,4,216.391
5dwUbAB8YvBey0lP92gdMd,0.651,0.71,8,-3.939,1,0.0429,0.255,0.0,0.0906,0.475,83.816,4,225.173
